momento de captura,rango de edad,industria,salario anual,compensaciones extra anuales,moneda,otra moneda,pais,estado us,ciudad,experiencia total,experiencia especifica,nivel educativo,genero,etnia
28/04/2021 13:43:51,25-34,Computing or Tech,65000,8000.0,USD,,United States,Montana,Missoula,5-7 years,2 - 4 years,College degree,Man,White
28/04/2021 13:43:57,25-34,Media & Digital,87000,0.0,USD,,USA,New York,New York,5-7 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer
28/04/2021 13:44:05,55-64,"Accounting, Banking & Finance",130000,0.0,USD,,United States,California,Los Angeles,21 - 30 years,21 - 30 years,Master's degree,Woman,Asian or Asian American
28/04/2021 13:44:05,25-34,Education (Higher Education),54100,0.0,EUR,,Germany,,Essen,2 - 4 years,2 - 4 years,Master's degree,Man,White
28/04/2021 13:44:06,25-34,Engineering or Manufacturing,106500,,USD,,USA,New Jersey,Essex county,5-7 years,2 - 4 years,Master's degree,Woman,White
28/04/2021 13:44:07,25-34,Media & Digital,65000,,USD,,US,New York,New York,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:44:08,35-44,Sales,75000,40000.0,USD,,USA,Minnesota,Minneapolis,11 - 20 years,8 - 10 years,Master's degree,Man,White
28/04/2021 13:44:10,45-54,Computing or Tech,166000,0.0,USD,,United States,Colorado,Denver Metro Area,31 - 40 years,31 - 40 years,College degree,Woman,White
28/04/2021 13:44:12,25-34,"Marketing, Advertising & PR",170000,5000.0,USD,,US,New York,NYC,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:44:23,25-34,Education (Higher Education),41000,0.0,USD,,USA,Indiana,Bloomington,2 - 4 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:44:26,35-44,Insurance,77725,7500.0,USD,,United States ,Arizona,Phoenix,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:44:39,25-34,Government and Public Administration,33000,0.0,GBP,,United Kingdom,,Ipswich,2 - 4 years,1 year or less,Master's degree,Woman,White
28/04/2021 13:44:45,35-44,Beverage Distribution,40000,0.0,USD,,USA,Ohio,Newark,11 - 20 years,5-7 years,Some college,Woman,White
28/04/2021 13:44:48,25-34,Insurance,74600,6000.0,USD,,United States,Kentucky,Louisville,11 - 20 years,8 - 10 years,College degree,Woman,Black or African American
28/04/2021 13:44:58,25-34,Computing or Tech,141520,44152.0,USD,,United States,Ohio,Dayton,8 - 10 years,8 - 10 years,College degree,Man,White
28/04/2021 13:44:59,25-34,Computing or Tech,85000,93000.0,USD,,United States,Washington,Seattle,8 - 10 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:45:00,45-54,Nonprofits,174000,25000.0,CAD,,Canada,,Montreal,21 - 30 years,21 - 30 years,PhD,Other or prefer not to answer,Another option not listed here or prefer not to answer
28/04/2021 13:45:05,35-44,Computing or Tech,65000,0.0,USD,,United States,Minnesota,Minneapolis ,1 year or less,1 year or less,College degree,Man,White
28/04/2021 13:45:06,45-54,Government and Public Administration,70800,,USD,,USA,Tennessee,Nashville,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:45:15,55-64,Government and Public Administration,66000,,USD,,U.S.,Montana,Helena,21 - 30 years,5-7 years,College degree,Woman,White
28/04/2021 13:45:16,25-34,Computing or Tech,15100,20000.0,USD,,United States,California,Mountain View,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
28/04/2021 13:45:17,25-34,Education (Higher Education),71000,2800.0,USD,,USA,Florida,Remote,5-7 years,2 - 4 years,Master's degree,Man,Black or African American
28/04/2021 13:45:18,35-44,Public Library,58400,0.0,USD,,United States,New Hampshire,Enfield,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:45:21,25-34,Education (Higher Education),60000,,USD,,USA,New Jersey,Princeton,8 - 10 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:45:27,25-34,Computing or Tech,70500,,USD,,United States of America,Ohio,Middleburg Heights,2 - 4 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:45:34,35-44,Media & Digital,57000,0.0,USD,,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:45:35,25-34,Education (Primary/Secondary),46000,1000.0,USD,,United States,Texas,Celina,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:45:37,35-44,Computing or Tech,70000,7000.0,USD,,USA,Washington,Bellingham,21 - 30 years,11 - 20 years,College degree,Man,White
28/04/2021 13:45:47,25-34,Art & Design,65000,,CAD,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
28/04/2021 13:45:51,35-44,Sales,48750,0.0,USD,,US,Texas,Austin,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:45:51,35-44,Education (Higher Education),59000,,USD,,United States,California,Irvine,11 - 20 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:45:53,25-34,Computing or Tech,95000,,USD,,US,California,San Jose,5-7 years,5-7 years,College degree,Man,White
28/04/2021 13:45:54,25-34,Nonprofit - legal department,69000,0.0,USD,,US,District of Columbia,DC,5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:46:00,25-34,Media & Digital,76073,,USD,,United States of America,New York,New York,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:46:06,45-54,Business or Consulting,53000,0.0,USD,,US,Minnesota,St Paul,31 - 40 years,21 - 30 years,Some college,Woman,White
28/04/2021 13:46:08,18-24,Computing or Tech,100000,1000.0,USD,,USA,Illinois,Chicago,2 - 4 years,2 - 4 years,Some college,Other or prefer not to answer,White
28/04/2021 13:46:13,35-44,Education (Higher Education),30000,,GBP,,United Kingdom,,Birmingham ,11 - 20 years,11 - 20 years,High School,Woman,White
28/04/2021 13:46:32,25-34,Nonprofits,70000,1000.0,USD,,USA,Colorado,Denver,8 - 10 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
28/04/2021 13:46:33,35-44,Health care,107000,7000.0,CAD,,Canada ,,Edmonton ,8 - 10 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:46:34,25-34,Law,38000,6000.0,USD,,USA,Florida,Coral Springs,8 - 10 years,5-7 years,Some college,Non-binary,"Hispanic, Latino, or Spanish origin, White"
28/04/2021 13:46:39,35-44,Computing or Tech,105000,2000.0,USD,,USA,Alabama,Birmingham,11 - 20 years,11 - 20 years,College degree,Man,White
28/04/2021 13:46:59,25-34,"Marketing, Advertising & PR",100000,2000.0,USD,,United States,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:47:02,25-34,Health care,145000,20000.0,USD,,United States of America,Colorado,Denver,8 - 10 years,5-7 years,College degree,Woman,White
28/04/2021 13:47:09,25-34,Nonprofits,35750,0.0,USD,,United States,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:47:09,25-34,Media & Digital,85000,0.0,USD,,United States,Texas,austin,5-7 years,2 - 4 years,College degree,Man,"Asian or Asian American, White"
28/04/2021 13:47:11,25-34,Computing or Tech,67000,5000.0,USD,,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:47:26,25-34,Property or Construction,46000,,USD,,United States,Wisconsin,Wausau,5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:47:30,25-34,Engineering or Manufacturing,123800,5000.0,USD,,USA,Washington,Renton,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
28/04/2021 13:47:59,35-44,"Accounting, Banking & Finance",163000,10000.0,USD,,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:48:02,25-34,Insurance,75000,2000.0,USD,,USA,Illinois,Chicago,2 - 4 years,1 year or less,College degree,Woman,Asian or Asian American
28/04/2021 13:48:09,25-34,Education (Higher Education),57500,,USD,,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:48:17,35-44,"Marketing, Advertising & PR",211000,42200.0,USD,,USA,New York,NYC,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:48:20,18-24,Sales,33280,0.0,USD,,United States,Tennessee,Knoxville,2 - 4 years,2 - 4 years,College degree,Non-binary,White
28/04/2021 13:48:20,25-34,Government and Public Administration,73000,0.0,USD,,United States,North Carolina,Raleigh,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
28/04/2021 13:48:22,35-44,Social Work,110000,5000.0,USD,,USA,California,Los Angeles,21 - 30 years,5-7 years,Master's degree,Woman,Asian or Asian American
28/04/2021 13:48:28,45-54,Education (Primary/Secondary),82000,0.0,USD,,US,Georgia,Fayetteville,21 - 30 years,21 - 30 years,Master's degree,,White
28/04/2021 13:48:29,25-34,Government and Public Administration,67110,,CAD,,Canada,,Toronto,2 - 4 years,2 - 4 years,Master's degree,Woman,"Asian or Asian American, White"
28/04/2021 13:48:30,25-34,Government and Public Administration,73000,,USD,,USA,Virginia,Rosslyn,2 - 4 years,2 - 4 years,Master's degree,Woman,Black or African American
28/04/2021 13:48:30,25-34,Nonprofits,73000,7000.0,USD,,US,District of Columbia,"Washington, DC",8 - 10 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:48:35,35-44,Government and Public Administration,62000,,USD,,USA,Colorado,Fort Collins ,11 - 20 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:48:40,25-34,Pharmaceutical Research,63000,1000.0,USD,,United States,California,Long Beach,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
28/04/2021 13:48:43,18-24,"Accounting, Banking & Finance",55000,5000.0,USD,,United States of America ,Pennsylvania,Pittsburgh ,1 year or less,1 year or less,College degree,Woman,White
28/04/2021 13:48:55,35-44,Media & Digital,109000,14000.0,CAD,,Canada,,Ottawa,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
28/04/2021 13:48:55,18-24,Recruitment or HR,45000,6000.0,USD,,USA,Texas,"Austin, Texas",2 - 4 years,2 - 4 years,College degree,Non-binary,White
28/04/2021 13:48:57,25-34,Software Development / IT,70000,0.0,CAD,,Canada,,Waterloo,5-7 years,2 - 4 years,College degree,Non-binary,White
28/04/2021 13:49:06,35-44,Computing or Tech,170000,110000.0,USD,,USA,District of Columbia,DC,11 - 20 years,11 - 20 years,College degree,Man,White
28/04/2021 13:49:14,55-64,Utilities & Telecommunications,135000,14000.0,USD,,USA,Illinois,Chicago,31 - 40 years,31 - 40 years,College degree,Woman,White
28/04/2021 13:49:21,25-34,Education (Primary/Secondary),117000,6000.0,USD,,USA,District of Columbia,Washington,11 - 20 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:49:26,35-44,"Accounting, Banking & Finance",80000,5500.0,USD,,United States,Kansas,Overland Park,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:49:31,25-34,Art & Design,100000,0.0,USD,,USA,New York,New York ,8 - 10 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:49:32,25-34,Media & Digital,54000,,USD,,United States,Texas,Ft. Worth,5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:49:36,25-34,Computing or Tech,154000,,USD,,United States of America,District of Columbia,Washington DC,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
28/04/2021 13:49:40,25-34,Media & Digital,45000,0.0,CAD,,Canada,,"Edmonton, Alberta",2 - 4 years,2 - 4 years,Some college,Woman,White
28/04/2021 13:49:40,25-34,Education (Primary/Secondary),50000,,USD,,United States ,Georgia,Athens ,5-7 years,2 - 4 years,Master's degree,Woman,White
28/04/2021 13:49:43,35-44,Computing or Tech,279000,100000.0,USD,,USA,New York,New York City,21 - 30 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:49:51,18-24,Business or Consulting,65000,2000.0,CAD,,Canada,,Vancouver ,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
28/04/2021 13:49:53,35-44,Computing or Tech,138000,10000.0,USD,,United States,Texas,Austin,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:49:53,25-34,Computing or Tech,104000,11000.0,USD,,USA,California,SF,5-7 years,5-7 years,College degree,Other or prefer not to answer,Asian or Asian American
28/04/2021 13:49:56,35-44,Computing or Tech,63000,,GBP,,Uk,,--,11 - 20 years,11 - 20 years,Master's degree,Man,White
28/04/2021 13:50:04,25-34,Education (Primary/Secondary),143000,0.0,USD,,United States,California,San Jose,8 - 10 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:50:08,45-54,Government and Public Administration,53000,0.0,USD,,United States,Mississippi,Jackson,21 - 30 years,1 year or less,Master's degree,Woman,White
28/04/2021 13:50:09,35-44,Commercial Landscaping ,42840,,USD,,United States ,Ohio,Columbus ,21 - 30 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:50:11,55-64,Utilities & Telecommunications,135000,14000.0,USD,,USA,Illinois,Chicago,31 - 40 years,31 - 40 years,College degree,Woman,White
28/04/2021 13:50:16,35-44,Law,150000,15000.0,USD,,United States,Pennsylvania,Harrisburg,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
28/04/2021 13:50:28,35-44,Insurance,109270,8000.0,USD,,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:50:43,18-24,"Accounting, Banking & Finance",68500,5000.0,USD,,United States,Virginia,McLean,1 year or less,1 year or less,College degree,Woman,Black or African American
28/04/2021 13:50:48,35-44,Insurance,135000,15000.0,USD,,Unitied States,Oregon,Portland,11 - 20 years,8 - 10 years,Some college,Man,White
28/04/2021 13:50:50,25-34,Media & Digital,69000,6500.0,USD,,United States,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:50:54,35-44,Computing or Tech,75000,10000.0,USD,,US,Idaho,Boise,8 - 10 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:51:03,25-34,Law,190000,15000.0,USD,,United States,Massachusetts,Boston,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,"Asian or Asian American, White"
28/04/2021 13:51:04,25-34,Insurance,98714,17000.0,USD,,US,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:51:06,35-44,Health care,135000,0.0,USD,,United States,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:51:08,35-44,Engineering or Manufacturing,112000,20000.0,USD,,United States,Illinois,Morris,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:51:11,35-44,Insurance,45000,0.0,USD,,US,North Carolina,Raleigh,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:51:11,25-34,Labor,66617,,USD,,USA,California,Oakland,5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:51:15,25-34,Computing or Tech,83000,12000.0,USD,,USA,Minnesota,Minneapolis,5-7 years,5-7 years,Some college,Woman,"Black or African American, Middle Eastern or Northern African, White"
28/04/2021 13:51:21,35-44,Computing or Tech,105000,,USD,,United States of America,"New York, Texas",Austin / New York,11 - 20 years,8 - 10 years,College degree,Other or prefer not to answer,White
28/04/2021 13:51:28,25-34,Recruitment or HR,163000,60000.0,USD,,US,California,San Francisco,5-7 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
28/04/2021 13:51:31,35-44,Education (Higher Education),36000,0.0,USD,,USA,Ohio,Cleveland,11 - 20 years,11 - 20 years,Master's degree,Man,White
28/04/2021 13:51:52,25-34,Insurance,39975,,USD,,United States,Utah,Utah,2 - 4 years,1 year or less,High School,Man,White
28/04/2021 13:51:58,45-54,"Accounting, Banking & Finance",60000,2500.0,USD,,US,North Carolina,Durham,31 - 40 years,11 - 20 years,Some college,Woman,White
28/04/2021 13:52:15,45-54,Education (Higher Education),110000,0.0,USD,,United States,Oklahoma,Tulsa,21 - 30 years,21 - 30 years,College degree,Woman,White
28/04/2021 13:52:19,35-44,Education (Higher Education),103000,,USD,,USA,Illinois,Chicago,11 - 20 years,11 - 20 years,PhD,Man,White
28/04/2021 13:52:26,25-34,Computing or Tech,35360,0.0,USD,,US,Louisiana,New Orleans,5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:52:34,35-44,Health care,240000,20000.0,USD,,USA,California,Bay Area,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,Another option not listed here or prefer not to answer
28/04/2021 13:52:39,25-34,Government and Public Administration,110000,,USD,,USA,District of Columbia,"Washington, DC",8 - 10 years,5-7 years,Master's degree,Woman,Black or African American
28/04/2021 13:52:41,25-34,Computing or Tech,200000,,USD,,USA,California,San Francisco,11 - 20 years,5-7 years,College degree,Woman,White
28/04/2021 13:52:55,25-34,Health care,130000,0.0,USD,,USA,Wisconsin,Neenah,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
28/04/2021 13:53:03,25-34,Engineering or Manufacturing,42848,700.0,USD,,United States,"New Jersey, Pennsylvania",Philadelphia,11 - 20 years,5-7 years,College degree,Woman,White
28/04/2021 13:53:03,25-34,Computing or Tech,110000,0.0,USD,,USA,Indiana,Indianapolis,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
28/04/2021 13:53:11,25-34,Media & Digital,76000,5000.0,USD,,USA,New York,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:53:15,25-34,Education (Primary/Secondary),51588,0.0,USD,,United States,Texas,Houston ,5-7 years,2 - 4 years,College degree,Man,White
28/04/2021 13:53:22,35-44,Computing or Tech,150000,7500.0,USD,,United States,New York,New York,11 - 20 years,5-7 years,College degree,Man,White
28/04/2021 13:53:23,25-34,Nonprofits,69360,,USD,,USA,District of Columbia,DC,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:53:38,25-34,Art & Design,54100,3000.0,USD,,United States,Massachusetts,Boston,2 - 4 years,2 - 4 years,Master's degree,Man,White
28/04/2021 13:53:46,35-44,"Marketing, Advertising & PR",130000,12000.0,USD,,US,New Jersey,Hoboken,11 - 20 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:53:46,45-54,Health care,115000,0.0,USD,,USA,New York,Syracuse,21 - 30 years,21 - 30 years,Master's degree,Woman,White
28/04/2021 13:53:47,25-34,Nonprofits,60000,0.0,USD,,United States,Connecticut,Remote,11 - 20 years,5-7 years,College degree,Woman,White
28/04/2021 13:53:51,25-34,Computing or Tech,81863,7500.0,GBP,,United Kingdom,,London,8 - 10 years,5-7 years,Some college,Man,White
28/04/2021 13:53:51,25-34,Business or Consulting,63500,,CAD,,Canada,,Vancouver,2 - 4 years,2 - 4 years,Master's degree,Woman,White
28/04/2021 13:53:53,35-44,Health care,78728,,CAD,,Canada,,Toronto,11 - 20 years,5-7 years,College degree,Woman,White
28/04/2021 13:54:03,35-44,Computing or Tech,165000,110000.0,USD,,USA,Washington,Seatlle,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
28/04/2021 13:54:06,35-44,Computing or Tech,74900,,USD,,USA,Minnesota,Minneapolis,11 - 20 years,5-7 years,College degree,Man,White
28/04/2021 13:54:07,35-44,Engineering or Manufacturing,124000,24000.0,USD,,United States,Washington,Lacey,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:54:09,25-34,Education (Higher Education),56000,,USD,,USA,Pennsylvania,Haverford,11 - 20 years,8 - 10 years,Master's degree,Non-binary,White
28/04/2021 13:54:12,18-24,"Accounting, Banking & Finance",25000,0.0,GBP,,United Kingdom,,London,2 - 4 years,1 year or less,High School,Man,White
28/04/2021 13:54:17,25-34,"Marketing, Advertising & PR",90000,,USD,,USA,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:54:25,35-44,"Marketing, Advertising & PR",89000,,USD,,United States,North Carolina,Charlotte metropolitan ,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:54:26,35-44,Education (Higher Education),66000,0.0,USD,,United States,Illinois,Evanston,11 - 20 years,11 - 20 years,PhD,Woman,White
28/04/2021 13:54:30,45-54,Nonprofits,34320,0.0,USD,,United States,Oklahoma,Tulsa,21 - 30 years,21 - 30 years,Master's degree,Woman,White
28/04/2021 13:54:51,25-34,Computing or Tech,105000,,CAD,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:54:53,25-34,Computing or Tech,90000,0.0,USD,,United States ,New York,Secaucus NJ,2 - 4 years,2 - 4 years,College degree,Man,White
28/04/2021 13:54:53,35-44,Engineering or Manufacturing,88000,12000.0,USD,,US,Alaska,Fairbanks,8 - 10 years,5-7 years,College degree,Man,White
28/04/2021 13:54:56,25-34,Government and Public Administration,45427,0.0,USD,,United States,New Jersey,Bergen County,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:55:06,25-34,"Accounting, Banking & Finance",123000,27000.0,USD,,US,Pennsylvania,Philadelphia,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:55:12,25-34,Engineering or Manufacturing,135000,14000.0,USD,,United States,California,Los Angeles,5-7 years,2 - 4 years,College degree,Man,White
28/04/2021 13:55:15,35-44,Law,111000,20000.0,USD,,USA,Washington,Seattle,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White
28/04/2021 13:55:17,25-34,Business or Consulting,142000,5000.0,USD,,United States,New York,NYC,8 - 10 years,8 - 10 years,Master's degree,Man,White
28/04/2021 13:55:20,55-64,Education (Higher Education),65900,1000.0,USD,,USA,Arkansas,Fort Smith,21 - 30 years,21 - 30 years,PhD,Woman,White
28/04/2021 13:55:21,25-34,"Marketing, Advertising & PR",70000,10000.0,USD,,USA,New York,NYC,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American
28/04/2021 13:55:24,45-54,Education (Higher Education),38000,,USD,,USA,Massachusetts,Medford,11 - 20 years,8 - 10 years,Master's degree,Woman,Asian or Asian American
28/04/2021 13:55:29,35-44,Computing or Tech,95000,2500.0,USD,,United States,Utah,Lehi,21 - 30 years,8 - 10 years,Master's degree,Woman,White
28/04/2021 13:55:37,25-34,Recruitment or HR,98000,0.0,USD,,United States,California,Sacramento,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:55:44,25-34,Hospitality & Events,100000,10000.0,CAD,,Canada,,Toronto,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
28/04/2021 13:55:52,35-44,Nonprofits,61200,,USD,,United States,New York,"Cortland, NY",21 - 30 years,5-7 years,Master's degree,Woman,White
28/04/2021 13:55:56,35-44,Law,102000,0.0,USD,,US,California,San Francisco,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
28/04/2021 13:55:59,25-34,Recruitment or HR,28080,900.0,USD,,USA,Virginia,"Newport News, VA",5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:56:04,45-54,Computing or Tech,87000,10000.0,USD,,USA,Pennsylvania,Philadelphia,21 - 30 years,5-7 years,Master's degree,Man,White
28/04/2021 13:56:06,35-44,"Accounting, Banking & Finance",170000,87000.0,USD,,Usa,Illinois,Chicago,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:56:11,25-34,Computing or Tech,190000,0.0,USD,,United States,California,San Francisco,11 - 20 years,5-7 years,College degree,Woman,"Middle Eastern or Northern African, White"
28/04/2021 13:56:16,25-34,Law,68000,1000.0,USD,,USA,California,Palo Alto,2 - 4 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:56:17,35-44,Health care,140000,20000.0,USD,,USA,Georgia,Atlanta,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
28/04/2021 13:56:18,35-44,Law,240000,5000.0,USD,,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
28/04/2021 13:56:21,25-34,Computing or Tech,105500,0.0,USD,,United States,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
28/04/2021 13:56:25,35-44,"Marketing, Advertising & PR",156000,0.0,USD,,USA,Florida,Jacksonville,11 - 20 years,8 - 10 years,College degree,Man,White
28/04/2021 13:56:27,45-54,Nonprofits,24960,0.0,USD,,United States,Oklahoma,Tulsa,21 - 30 years,2 - 4 years,Master's degree,Woman,White
28/04/2021 13:56:35,35-44,Education (Higher Education),63638,0.0,USD,,USA,Indiana,Indianapolis,11 - 20 years,8 - 10 years,PhD,Woman,White
28/04/2021 13:56:38,35-44,Nonprofits,75000,0.0,USD,,US,New York,Rochester,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:56:40,35-44,Engineering or Manufacturing,112000,20000.0,USD,,United States,Illinois,Morris,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:56:41,25-34,Education (Primary/Secondary),80683,0.0,USD,,United States,Texas,Austin,11 - 20 years,5-7 years,College degree,Woman,White
28/04/2021 13:56:42,25-34,Education (Higher Education),37926,,USD,,USA,South Carolina,Bluffton,8 - 10 years,2 - 4 years,Master's degree,Woman,White
28/04/2021 13:56:49,25-34,Computing or Tech,62000,0.0,USD,,United States,Ohio,Columbus,5-7 years,5-7 years,College degree,Woman,White
28/04/2021 13:56:58,35-44,Computing or Tech,82000,0.0,USD,,USA,New Jersey,Haddon field NJ,11 - 20 years,11 - 20 years,College degree,Woman,White
28/04/2021 13:56:59,25-34,Social Work,50400,,USD,,United States,North Carolina,Mooresville,8 - 10 years,5-7 years,Master's degree,Woman,Black or African American
28/04/2021 13:57:10,35-44,Computing or Tech,59300,40000.0,CAD,,Canada,,Toronto,11 - 20 years,8 - 10 years,College degree,Man,White
28/04/2021 13:57:16,45-54,Government and Public Administration,68000,1000.0,USD,,USA,Virginia,Richmond,31 - 40 years,31 - 40 years,Some college,Woman,White
28/04/2021 13:57:34,18-24,Computing or Tech,72000,8000.0,USD,,USA,Indiana,Indianapolis,1 year or less,2 - 4 years,College degree,Man,Another option not listed here or prefer not to answer
28/04/2021 13:57:36,25-34,Sales,50000,50000.0,USD,,United Sates,California,Redwood City,5-7 years,5-7 years,College degree,Man,White
28/04/2021 13:57:43,25-34,Art & Design,63000,0.0,CAD,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Non-binary,White
28/04/2021 13:57:44,25-34,Government and Public Administration,68000,,USD,,USA,Ohio,Cincinnati,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
28/04/2021 13:57:48,25-34,Art & Design,68000,,CAD,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
28/04/2021 13:57:54,35-44,Transport or Logistics,85000,4900.0,USD,,United States,Texas,Fort Worth,11 - 20 years,11 - 20 years,Master's degree,Woman,White
28/04/2021 13:58:02,25-34,Libraries,56000,0.0,USD,,United States,Texas,Plano,1 year or less,2 - 4 years,Master's degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
28/04/2021 13:58:07,35-44,Computing or Tech,160000,,USD,,USA,Virginia,Richmond,8 - 10 years,8 - 10 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
28/04/2021 13:58:09,35-44,Computing or Tech,250000,,USD,,United States,Virginia,Arlington,8 - 10 years,8 - 10 years,PhD,Man,White
28/04/2021 13:58:10,25-34,Nonprofits,58500,5500.0,USD,,United States ,District of Columbia,Washington DC ,5-7 years,2 - 4 years,College degree,Woman,White
28/04/2021 13:58:11,35-44,Nonprofits,45000,0.0,USD,,usa,New York,New York,21 - 30 years,2 - 4 years,High School,Woman,"Asian or Asian American, White"
28/04/2021 13:58:15,25-34,Nonprofits,74000,0.0,USD,,USA,New York,NYC,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
